ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,Country
10206,28,87.3,11,2444.4,12-05-2003 00:00,Shipped,4,12,2003,Vintage Cars,Canada
10283,46,100,3,5795.54,8/20/2004 0:00,Shipped,3,8,2004,Vintage Cars,Canada
10261,20,89.53,9,1790.6,6/17/2004 0:00,Shipped,2,6,2004,Vintage Cars,Canada
10283,34,100,14,3580.88,8/20/2004 0:00,Shipped,3,8,2004,Vintage Cars,Canada
10313,28,100,8,2881.76,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10411,46,100,3,5235.72,05-01-2005 00:00,Shipped,2,5,2005,Trucks and Buses,Canada
10206,21,53.33,4,1119.93,12-05-2003 00:00,Shipped,4,12,2003,Vintage Cars,Canada
10411,35,59.87,7,2095.45,05-01-2005 00:00,Shipped,2,5,2005,Vintage Cars,Canada
10235,23,96.29,5,2214.67,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10261,36,100,8,4512.6,6/17/2004 0:00,Shipped,2,6,2004,Ships,Canada
10283,42,100,13,5316.36,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
10313,42,100,4,5581.8,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10171,36,35.49,4,1277.64,11-05-2003 00:00,Shipped,4,11,2003,Classic Cars,Canada
10261,22,91.17,3,2005.74,6/17/2004 0:00,Shipped,2,6,2004,Vintage Cars,Canada
10283,34,92.94,8,3159.96,8/20/2004 0:00,Shipped,3,8,2004,Vintage Cars,Canada
10283,33,72.96,5,2407.68,8/20/2004 0:00,Shipped,3,8,2004,Vintage Cars,Canada
10235,33,60.05,12,1981.65,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10206,33,97.39,10,3213.87,12-05-2003 00:00,Shipped,4,12,2003,Vintage Cars,Canada
10235,40,81.14,4,3245.6,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10313,27,87.64,6,2366.28,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10411,26,100,1,2904.72,05-01-2005 00:00,Shipped,2,5,2005,Trucks and Buses,Canada
10235,41,100,1,4177.49,04-02-2004 00:00,Shipped,2,4,2004,Motorcycles,Canada
10313,38,45.45,1,1727.1,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10206,36,58.82,2,2117.52,12-05-2003 00:00,Shipped,4,12,2003,Trucks and Buses,Canada
10313,34,56.24,10,1912.16,10/22/2004 0:00,Shipped,4,10,2004,Trucks and Buses,Canada
10411,27,69.16,5,1867.32,05-01-2005 00:00,Shipped,2,5,2005,Trucks and Buses,Canada
10235,34,77.73,6,2642.82,04-02-2004 00:00,Shipped,2,4,2004,Vintage Cars,Canada
10235,41,35.35,7,1449.35,04-02-2004 00:00,Shipped,2,4,2004,Vintage Cars,Canada
10261,34,62,4,2108,6/17/2004 0:00,Shipped,2,6,2004,Ships,Canada
10283,45,78.67,9,3540.15,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
10235,25,100,8,2580.25,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10283,20,94.14,2,1882.8,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
10235,38,88.75,10,3372.5,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10261,44,68.67,2,3021.48,6/17/2004 0:00,Shipped,2,6,2004,Ships,Canada
10283,47,65.77,7,3091.19,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
10206,33,100,1,3871.89,12-05-2003 00:00,Shipped,4,12,2003,Classic Cars,Canada
10313,30,99.13,9,2973.9,10/22/2004 0:00,Shipped,4,10,2004,Classic Cars,Canada
10411,34,100,4,3576.8,05-01-2005 00:00,Shipped,2,5,2005,Classic Cars,Canada
10235,25,96.11,2,2402.75,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10235,32,92,9,2944,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10261,25,88.15,5,2203.75,6/17/2004 0:00,Shipped,2,6,2004,Ships,Canada
10283,22,88.15,10,1939.3,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
10261,50,81.43,6,4071.5,6/17/2004 0:00,Shipped,2,6,2004,Ships,Canada
10283,38,89.38,11,3396.44,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
10235,34,72.55,11,2466.7,04-02-2004 00:00,Shipped,2,4,2004,Planes,Canada
10283,43,57.61,1,2477.23,8/20/2004 0:00,Shipped,3,8,2004,Planes,Canada
10261,29,50.78,7,1472.62,6/17/2004 0:00,Shipped,2,6,2004,Ships,Canada
10283,33,51.32,12,1693.56,8/20/2004 0:00,Shipped,3,8,2004,Ships,Canada
