ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,Country
10361,26,100,9,2754.7,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10270,46,88,4,4048,7/19/2004 0:00,Shipped,3,7,2004,Classic Cars,Australia
10120,24,100,7,3417.12,4/29/2003 0:00,Shipped,2,4,2003,Planes,Australia
10223,29,100,8,3199.86,2/20/2004 0:00,Shipped,1,2,2004,Planes,Australia
10361,44,72.42,5,3186.48,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10120,43,76,14,3268,4/29/2003 0:00,Shipped,2,4,2003,Planes,Australia
10223,26,67.2,15,1747.2,2/20/2004 0:00,Shipped,1,2,2004,Planes,Australia
10361,44,100,10,5001.92,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10361,35,100,11,4277.35,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10361,23,95.2,12,2189.6,12/17/2004 0:00,Shipped,4,12,2004,Planes,Australia
10415,42,57.61,3,2419.62,05-09-2005 00:00,Disputed,2,5,2005,Planes,Australia
